hz,decision_tree,random_forest,svc,logistic_regression,framework
10,6.476392955714476e-06,2.9903756571431065e-05,0.0004566013789999488,0.00044149468014289335,pure-python
20,4.891754035714452e-06,3.171041088571006e-05,0.0008524694742856938,0.00085029639857141,pure-python
25,4.767515031428177e-06,2.798141825714343e-05,0.0010412989151428258,0.0010352276855714341,pure-python
50,4.787116261428699e-06,3.2101178099998965e-05,0.0020880516314280484,0.0020653362985714402,pure-python
100,3.2441731014283246e-06,2.6581260757143354e-05,0.00404855613142932,0.004039201875714948,pure-python
10,6.757382127143013e-05,0.0005959751842857161,5.734799451428541e-05,5.776320132857141e-05,scikit
20,6.4752782814287e-05,0.0005896995755713955,5.833396732857312e-05,5.86191244142859e-05,scikit
25,6.495781007142795e-05,0.0005909722012857271,5.8597721128567825e-05,6.011740677142825e-05,scikit
50,6.780121535714443e-05,0.0005969696755714234,5.982605045714503e-05,6.022152945714165e-05,scikit
100,6.90361892714301e-05,0.0005944872574286169,6.179261225713942e-05,6.168365317143655e-05,scikit
